06-30 10:01:54: Training starting...
06-30 10:01:56: New best reward 48.0 (-100.0%) at episode 0, saving model...
06-30 10:01:57: New best reward 51.0 (+6.2%) at episode 16, saving model...
06-30 10:01:57: New best reward 52.0 (+2.0%) at episode 29, saving model...
06-30 10:01:57: New best reward 62.0 (+19.2%) at episode 34, saving model...
06-30 10:01:58: New best reward 72.0 (+16.1%) at episode 128, saving model...
06-30 10:01:59: New best reward 79.0 (+9.7%) at episode 177, saving model...
06-30 10:02:08: New best reward 104.0 (+31.6%) at episode 406, saving model...
06-30 10:02:09: New best reward 107.0 (+2.9%) at episode 420, saving model...
06-30 10:02:15: New best reward 116.0 (+8.4%) at episode 564, saving model...
06-30 10:02:16: New best reward 120.0 (+3.4%) at episode 583, saving model...
06-30 10:02:16: New best reward 135.0 (+12.5%) at episode 584, saving model...
06-30 10:02:17: New best reward 156.0 (+15.6%) at episode 613, saving model...
06-30 10:02:21: New best reward 166.0 (+6.4%) at episode 721, saving model...
06-30 10:02:22: New best reward 239.0 (+44.0%) at episode 729, saving model...
06-30 10:02:28: New best reward 271.0 (+13.4%) at episode 874, saving model...
06-30 10:02:30: New best reward 280.0 (+3.3%) at episode 1042, saving model...
06-30 10:02:38: New best reward 301.0 (+7.5%) at episode 1284, saving model...
06-30 10:02:41: New best reward 326.0 (+8.3%) at episode 1359, saving model...
06-30 10:02:41: New best reward 400.0 (+22.7%) at episode 1362, saving model...
06-30 10:02:51: New best reward 601.0 (+50.2%) at episode 1646, saving model...
06-30 10:03:54: New best reward 642.0 (+6.8%) at episode 2852, saving model...
06-30 10:04:07: New best reward 699.0 (+8.9%) at episode 2993, saving model...
06-30 10:04:30: New best reward 735.0 (+5.2%) at episode 3253, saving model...
06-30 10:05:14: New best reward 740.0 (+0.7%) at episode 3420, saving model...
06-30 10:06:11: New best reward 923.0 (+24.7%) at episode 3814, saving model...
06-30 10:06:21: New best reward 941.0 (+2.0%) at episode 3907, saving model...
06-30 10:06:56: New best reward 1005.0 (+6.8%) at episode 4040, saving model...
06-30 10:08:35: New best reward 1105.0 (+10.0%) at episode 4359, saving model...
06-30 10:22:38: New best reward 2052.0 (+85.7%) at episode 8919, saving model...
06-30 10:25:06: New best reward 24553.0 (+1096.5%) at episode 9085, saving model...
06-30 10:29:24: New best reward 100000.0 (+307.3%) at episode 9889, saving model...
