06-26 07:00:04: Training starting...
06-26 07:00:05: New best reward -7.5 (-100.0%) at episode 0, saving model...
06-26 07:00:06: New best reward -0.9 (-88.0%) at episode 1, saving model...
06-26 07:00:32: New best reward 1.5 (-266.7%) at episode 2039, saving model...
06-26 07:00:45: New best reward 3.9 (+160.0%) at episode 3501, saving model...
06-26 07:02:18: New best reward 4.0 (+2.6%) at episode 10073, saving model...
06-26 07:02:27: New best reward 4.4 (+10.0%) at episode 10827, saving model...
06-26 07:02:47: New best reward 4.5 (+2.3%) at episode 12452, saving model...
06-26 07:02:57: New best reward 4.7 (+4.4%) at episode 13224, saving model...
06-26 07:03:05: New best reward 5.0 (+6.4%) at episode 13854, saving model...
06-26 07:03:12: New best reward 6.5 (+30.0%) at episode 14480, saving model...
06-26 07:03:30: New best reward 7.8 (+20.0%) at episode 15850, saving model...
06-26 07:04:22: New best reward 8.4 (+7.7%) at episode 19646, saving model...
06-26 07:06:46: New best reward 8.7 (+3.6%) at episode 29860, saving model...
06-26 07:10:11: New best reward 9.4 (+8.0%) at episode 42977, saving model...
06-26 07:10:54: New best reward 10.6 (+12.8%) at episode 45553, saving model...
06-26 07:11:07: New best reward 12.9 (+21.7%) at episode 46274, saving model...
06-26 07:13:48: New best reward 13.4 (+3.9%) at episode 55480, saving model...
06-26 07:14:01: New best reward 13.6 (+1.5%) at episode 56231, saving model...
06-26 07:14:22: New best reward 17.9 (+31.6%) at episode 57369, saving model...
06-26 07:16:07: New best reward 18.0 (+0.6%) at episode 62813, saving model...
06-26 07:16:19: New best reward 22.7 (+26.1%) at episode 63472, saving model...
06-26 07:17:39: New best reward 26.9 (+18.5%) at episode 67477, saving model...
06-26 07:20:10: New best reward 27.2 (+1.1%) at episode 74675, saving model...
06-26 07:21:04: New best reward 37.1 (+36.4%) at episode 77218, saving model...
06-26 07:22:53: New best reward 37.2 (+0.3%) at episode 82139, saving model...
06-26 07:25:01: New best reward 43.3 (+16.4%) at episode 87720, saving model...
06-26 07:30:35: New best reward 47.1 (+8.8%) at episode 100960, saving model...
06-26 07:33:50: New best reward 57.3 (+21.7%) at episode 108402, saving model...
06-26 07:55:17: New best reward 76.2 (+33.0%) at episode 125278, saving model...
06-26 09:28:47: New best reward 78.4 (+2.9%) at episode 170818, saving model...
06-26 10:54:37: New best reward 96.9 (+23.6%) at episode 235412, saving model...
06-26 16:14:49: New best reward 144.6 (+49.2%) at episode 409363, saving model...
